央视,#genre#
河南卫视,https://cntv.sbs/tv?auth=231005&id=hnws
河南卫视,http://111.40.196.27:443/0000000000001000/5000000011000031119/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031119
河南卫视,https://iptv.luas.edu.cn/liverespath/4bc76db1677c6cd2176e652ed6fc1cd44d8c297b/7e48b7ea4e-0-0-2194365130f8ace34d2ccabbc0ebb3f4/index.m3u8
河南卫视,http://221.2.36.34:8888/newlive/live/hls/33/live.m3u8
河南卫视,http://113.100.193.10:9901/tsfile/live/0139_1.m3u8
河南卫视,http://218.17.196.234:9901/tsfile/live/0139_1.m3u8
河南卫视,http://111.40.196.28:443/PLTV/88888888/224/3221225524/1.m3u8

湖北卫视,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=hubeiSD
湖北卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/hubeiSD/__op/default/__f/index.m3u8
湖北卫视,http://cyz32.livehbindex.hbcatv.cn/live/50000020273747628129718a5717b2dd.m3u8?bitrate=2300&pt=5
湖北卫视,http://111.40.196.27:443/0000000000001000/6000000001000015436/index.m3u8?livemode=1&stbId=10&channel-id=wasusyt&Contentid=6000000001000015436
湖北卫视,http://218.17.196.234:9901/tsfile/live/0132_1.m3u8
湖北卫视,https://cntv.sbs/tv?auth=231005&id=hubws
湖北卫视,http://113.100.193.10:9901/tsfile/live/0132_1.m3u8

湖南卫视,http://mqiptv.com:8014/ch/hunanws/mqlive.m3u8
湖南卫视,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw1591995316_1587683132/wd-hunanhd-2500/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073741&ContentId=265667721&timezone=UTC&mtv_session=7b07894c57472651304a93669cf87e9b&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=617e25748c5f12b7864cc6fb758deaa7&咪咕
湖南卫视,https://iptv.luas.edu.cn/liverespath/9b1ccba5a2c611bb5d7c96243695572090cca5fd/3777bfb47d-0-0-654e705fbb80feea4c6f5105072a6d33/index.m3u8
湖南卫视,http://113.100.193.10:9901/tsfile/live/1007_1.m3u8
湖南卫视,https://cntv.sbs/tv?auth=231005&id=hunws
湖南卫视,http://218.17.196.234:9901/tsfile/live/0128_1.m3u8
湖南卫视,http://111.40.196.27:443/0000000000001000/5000000004000006692/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000004000006692
湖南卫视,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=hunanHD

广东卫视,http://mqiptv.com:8014/ch/gdws/mqlive.m3u8
广东卫视,http://111.40.196.27:443/0000000000001000/5000000004000014694/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000004000014694
广东卫视,http://113.100.193.10:9901/tsfile/live/0019_1.m3u8
广东卫视,https://cntv.sbs/tv?auth=231005&id=gdws
广东卫视,http://218.17.196.234:9901/tsfile/live/0125_1.m3u8

深圳卫视,http://mqiptv.com:8014/ch/szws/mqlive.m3u8
深圳卫视,https://iptv.luas.edu.cn/liverespath/536ebe8b7165b25c8670e42eb8b7b4b6d178f158/a98f61eca9-0-0-c5ea37622772aa5d5e0d8838c68c61d9/index.m3u8
深圳卫视,https://cntv.sbs/tv?auth=231005&id=szws
深圳卫视,http://218.17.196.234:9901/tsfile/live/0126_1.m3u8
深圳卫视,http://111.40.196.27:443/0000000000001000/5000000004000007410/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000004000007410
深圳卫视,http://113.100.193.10:9901/tsfile/live/0126_1.m3u8

广西卫视,https://cntv.sbs/tv?auth=231005&id=gxws
广西卫视,http://111.40.196.27:443/0000000000001000/5000000011000031118/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031118
